813, 278, 40.70, 8.56, 49.00, 0.21, 31.20
1001, 245, 40.50, 5.86, 36.81, 0.14, 31.50
1002, 213, 40.80, 2.65, 21.93, 0.13, 31.70
1003, 214, 39.60, 2.67, 21.99, 0.14, 31.90
1004, 215, 40.50, 2.66, 21.97, 0.14, 31.90
1005, 215, 39.70, 2.66, 21.95, 0.15, 32.10
1006, 212, 40.60, 2.65, 21.94, 0.13, 32.30
1007, 52, 40.60, 0.26, 3.72, 0.08, 32.40
1008, 213, 40.10, 2.66, 22.01, 0.15, 32.50
1009, 214, 40.30, 2.68, 21.98, 0.14, 32.70
1011, 219, 39.60, 2.72, 21.97, 0.14, 32.70
1012, 214, 39.30, 2.66, 22.02, 0.14, 32.90
1013, 227, 39.70, 2.94, 23.00, 0.15, 32.90
1014, 220, 39.20, 2.88, 23.03, 0.15, 33.30
1015, 219, 39.90, 2.89, 22.99, 0.15, 33.80
1016, 217, 41.00, 2.87, 22.99, 0.16, 34.00
1017, 219, 39.20, 2.88, 22.99, 0.16, 34.10
1018, 220, 40.20, 2.87, 22.95, 0.14, 33.80
1019, 223, 40.40, 3.09, 24.04, 0.17, 33.90
1020, 275, 39.80, 6.84, 40.08, 0.22, 34.30
1021, 280, 39.20, 10.58, 56.88, 0.17, 34.50
1022, 293, 38.90, 11.06, 57.14, 0.22, 34.50
1023, 307, 39.30, 11.58, 57.00, 0.23, 35.20
1024, 322, 40.00, 11.92, 56.76, 0.25, 36.00
1025, 328, 40.00, 12.36, 57.12, 0.29, 38.20
1026, 333, 39.20, 12.50, 56.88, 0.22, 38.10
1027, 332, 38.50, 12.49, 56.99, 0.28, 37.20
1028, 342, 39.60, 12.89, 56.86, 0.23, 39.00
1029, 345, 38.20, 12.99, 56.85, 0.32, 38.30
1031, 338, 39.00, 13.01, 57.07, 0.29, 38.80
1032, 343, 39.60, 13.07, 56.94, 0.24, 39.30
1033, 345, 39.40, 13.16, 56.78, 0.28, 39.50
1034, 346, 39.20, 13.35, 57.17, 0.31, 39.80
1035, 342, 38.40, 13.33, 57.19, 0.30, 41.80
1037, 219, 39.40, 2.17, 18.16, 0.14, 41.80
1038, 331, 39.80, 12.95, 56.97, 0.30, 40.40
1048, 219, 39.30, 2.99, 23.02, 0.16, 38.40
1050, 110, 39.00, 0.57, 8.43, 0.08, 39.60
1051, 282, 39.30, 8.43, 44.38, 0.25, 39.90
1053, 330, 38.90, 12.66, 56.95, 0.28, 38.20
1074, 107, 39.90, 0.62, 9.28, 0.08, 38.30
1075, 284, 38.80, 8.46, 45.06, 0.20, 38.70
1076, 318, 39.90, 12.08, 57.00, 0.29, 38.90
1078, 325, 39.10, 12.39, 56.88, 0.22, 39.50
1079, 333, 39.70, 12.63, 57.02, 0.29, 40.70
1080, 327, 38.30, 12.66, 56.97, 0.24, 39.60
1081, 337, 38.90, 12.88, 56.90, 0.32, 40.20
1138, 215, 39.20, 2.57, 21.00, 0.15, 38.90
1139, 310, 39.50, 11.52, 56.81, 0.28, 39.30
1140, 317, 39.90, 11.91, 56.88, 0.20, 39.10
1141, 328, 38.80, 12.29, 56.87, 0.27, 40.40
1142, 339, 39.50, 12.77, 57.11, 0.30, 41.60
1143, 347, 38.20, 12.92, 56.96, 0.31, 41.70
1144, 336, 38.40, 13.24, 58.16, 0.25, 42.00
1145, 341, 39.50, 13.36, 57.80, 0.24, 43.00
1146, 347, 38.30, 13.25, 56.96, 0.34, 42.90
1147, 352, 39.00, 13.50, 57.04, 0.30, 43.40
1149, 90, 39.10, 0.63, 9.38, 0.08, 43.20
1150, 274, 39.60, 7.08, 38.92, 0.22, 43.00
1151, 337, 38.40, 13.01, 56.99, 0.32, 44.10
1154, 226, 40.30, 2.11, 17.47, 0.14, 45.30
1155, 344, 38.20, 13.17, 56.83, 0.28, 45.20
1156, 345, 38.70, 14.08, 59.59, 0.32, 45.30
1157, 338, 38.20, 13.26, 57.10, 0.25, 44.50
1158, 343, 38.50, 13.35, 56.93, 0.25, 45.60
1159, 347, 38.80, 13.93, 58.23, 0.30, 47.00
1160, 348, 38.40, 13.90, 57.84, 0.26, 47.60
1161, 347, 38.40, 14.04, 58.02, 0.28, 47.80
1162, 349, 38.30, 14.01, 58.00, 0.31, 46.60
1163, 351, 38.40, 14.17, 58.00, 0.30, 46.90
1164, 344, 38.60, 13.62, 56.96, 0.32, 47.90
1165, 346, 38.10, 13.76, 56.94, 0.25, 48.10
1170, 238, 39.30, 5.04, 30.72, 0.15, 48.30
1171, 333, 39.00, 13.30, 56.99, 0.24, 47.80
1172, 339, 38.80, 13.45, 56.92, 0.31, 47.80
1174, 340, 39.30, 13.60, 57.20, 0.30, 48.00
1175, 339, 39.70, 13.56, 56.94, 0.31, 49.70
1176, 343, 39.70, 13.67, 57.06, 0.30, 49.70
1177, 339, 38.40, 13.59, 56.95, 0.33, 50.10
1178, 339, 39.40, 13.71, 57.17, 0.27, 50.70
1179, 340, 38.50, 13.76, 57.10, 0.25, 50.40
1180, 345, 39.00, 13.81, 56.80, 0.29, 50.20
1181, 343, 38.10, 13.87, 57.06, 0.31, 51.00
1193, 210, 39.80, 2.44, 20.03, 0.14, 48.10
1194, 330, 39.30, 13.15, 57.01, 0.28, 49.00
1195, 338, 38.00, 13.40, 57.01, 0.24, 49.60
1197, 338, 38.30, 13.46, 56.99, 0.30, 49.50
1198, 346, 39.30, 13.62, 56.82, 0.30, 49.60
